Data for figure 4c.
Drug	Migration
Rest	 1.909857339
Rest	 1.988886940
Rest	-0.241266090
Rest	 2.148798103
Rest	-1.268887342
Rest	 2.042934668
Rest	 1.924732791
Rest	-0.314015003
Rest	 0.082160926
Rest	 0.467721224
Rest	 0.271186084
Rest	-0.048294780
Rest	-0.106405997
Rest	 1.285112040
Rest	-0.059244534
Rest	-0.798228231
Rest	 1.375160954
Rest	-1.268887342
Rest	-0.125846034
Rest	 0.336893480
Rest	-1.126600356
Rest	-1.597579413
Rest	 0.696387620
Rest	-0.890991472
Rest	 0.607024805
Rest	-0.132023391
Rest	-1.362655301
Rest	 0.411934719
Rest	-0.338171729
Rest	-2.240411312
Rest	 0.365286779
Rest	-0.789985505
Rest	 1.487933239
Rest	-2.125675435
Rest	-0.612827882
Rest	 0.494790280
Rest	-0.218961822
Rest	-0.301351267
Rest	-1.552177111
Rest	-0.006036133
Rest	-1.117600261
Rest	-1.227302092
Rest	-1.019918026
Rest	-0.099126618
Rest	 0.480016023
Rest	-1.704251085
Rest	 1.757362238
Rest	-0.344561908
Rest	 0.836924853
Rest	 1.158950002
Rest	 0.743174258
Rest	 0.397715301
Rest	-0.785063593
Rest	 0.411934719
Rest	 0.349686054
Rest	 1.780051536
Rest	 0.286236462
Rest	 0.838573598
Rest	-2.485900815
Rest	-1.694181037
Rest	-0.733690580
Rest	 0.578305244
Rest	-2.540802687
Rest	-1.011874182
Rest	 0.060381547
Rest	-0.443801672
Rest	 0.007241494
Rest	 0.268696986
Rest	-0.045878320
Rest	-0.869740863
Rest	 0.511221491
Rest	 0.945951262
Rest	-0.775277834
Rest	-1.138218361
Rest	 0.642157573
Rest	-0.572620555
Rest	-0.558480103
Rest	-0.575459456
Rest	 0.976450725
Rest	-0.552864397
Rest	 2.072441016
Rest	-0.179745627
Rest	 0.547248692
Rest	 0.438675245
Rest	-2.285770942
Rest	-1.601729523
Rest	-0.241263143
Rest	-0.675068546
Rest	-0.454314013
Rest	 0.848871930
Rest	-1.282502284
Rest	-0.541658583
Rest	 0.365113762
Rest	 1.067691696
